008475 008494
00DF1A 00DFDA TileExpansion?
00DFDA 00E00C Mario8x8Tiles
00E00C 00E0CC
00E0CC 00E18C
00E18C 00E18E MarioPalIndex
00E18E 00E1D4
00E1D4 00E1D5
00E1D5 00E1D6
00E1D6 00E1D7
00E1D7 00E1D8
00E1D8 00E21A
00E21A 00E23A
00E23A 00E266
00E266 00E292
00E292 00E2A2
00E2A2 00E2B2
00E2B2 00E2B6
00E2B6 00E2B9
00E2B9 00E2BD
00E4B9 00E4DA
00E4DA 00E4FB
00E4FB 00E51C
00E51C 00E53D
00E53D 00E632
00E632 00E830
00E830 00E89C
00E89C 00E8A4
00E8A4 00E90A
00E90A 00E90D
00E90D 00E90E
00E90E 00E911
00E911 00E913
00E913 00E91F
00E91F 00E92B
00EAB9 00EABB
00EABB 00EABD
00EABD 00EAC1
00EAC1 00EADB
00F05C 00F080
00F080 00F0A4
00F0A4 00F0C8
00F0C8 00F0EC
00F0EC 00F0F8
00F0F8 00F100
00F100 00F120
00F3E3 00F3E5
00F3E5 00F3E9
00F69F 00F6A3
00F6A3 00F6A7
00F6A7 00F6AD
00F6AD 00F6B3
00F6B3 00F6BF
00F6BF 00F6CB
00F6CB 00F6CF
00F6CF 00F6DB
00F8DF 00F8E8
00F8E8 00F8F2
00F9F5 00FA10 Empty00F9F5
00FADF 00FAFB
00FAFB 00FB00
00FBA4 00FBAC LvlEndSmokeTiles
00FD24 00FD26
00FD9D 00FDA1
00FDA1 00FDA5
00FE0E 00FE12
00FE12 00FE16
00FE94 00FE96
00FE96 00FE9C
00FE9C 00FEA2
00FEA2 00FEA8
00FF93 010000

;loads starting mid instr
00944E 009451 Instr00944E
009AC5 009AC8 Instr009AC5
009C1B 009C1E Instr009C1B
00A608 00A60A Instr00A608
00C5D8 00C5DB Instr00C5D8
00C845 00C848 Instr00C845
00C9A4 00C9A7 Instr00C9A4
00CDA8 00CDA9 Instr00CDA8
00CE78 00CE79 Instr00CE78
